'14215120','B3T100E0','Invalid','8608','2021-01-11 13:46:20','2021-06-11 18:37:58'
'14083901','B3T7188D','Invalid','8636','2021-01-11 13:45:10','2021-06-23 20:22:28'
'14215676','B3TO8C9G','Invalid','8256','2021-01-11 13:46:20','2021-06-06 16:06:43'
'14254751','B3UBTLNK','Invalid','8636','2021-01-11 13:47:47','2021-06-24 12:42:09'
'14534018','B3V4VW0U','Invalid','8882','2021-01-11 13:55:35','2021-06-23 11:50:36'
'14630920','B3VX65IX','Invalid','8636','2021-01-11 13:55:49','2021-06-24 14:07:48'
'14658530','B3W1DK0P','Invalid','8112','2021-01-11 13:56:23','2021-06-11 12:56:11'
'14642656','B3W980OC','Invalid','8636','2021-01-11 13:56:20','2021-06-24 14:07:42'
'14655371','B3WFATZK','Invalid','8636','2021-01-11 13:56:22','2021-06-23 19:53:05'
'14768215','B3WZM00G','Invalid','7431','2021-01-11 13:56:58','2021-06-13 16:54:17'
'14893608','B3XFI1BE','Invalid','8636','2021-01-11 13:58:28','2021-06-23 19:49:05'
'14909439','B3XNQRPV','Invalid','2771','2021-01-11 13:58:30','2021-06-07 12:06:37'
'14943134','B3XOVITD','Invalid','8636','2021-01-11 13:59:06','2021-06-24 14:07:56'
'14870152','B3XQXIY3','Invalid','8636','2021-01-11 13:58:25','2021-06-24 14:08:39'
'12404505','B3Y8ZGUL','Invalid','5504','2021-01-11 13:27:48','2021-06-27 22:19:27'
'12547827','B3YLGL37','Invalid','7581','2021-01-11 13:28:38','2021-06-01 14:28:32'
'12436197','B3YLL7J9','Invalid','8636','2021-01-11 13:27:52','2021-06-24 14:08:02'
'12494002','B3YLM8GW','Invalid','449','2021-01-11 13:28:30','2021-06-02 08:01:01'
'12762445','B3Z17WVK','Invalid','8575','2021-01-11 13:29:48','2021-06-11 09:50:23'
'12754621','B3Z5JCWV','Invalid','8636','2021-01-11 13:29:47','2021-06-23 20:22:20'
'12614427','B3ZD94MC','Invalid','8294','2021-01-11 13:29:13','2021-06-07 07:28:40'
'12644107','B3ZUITVZ','Invalid','8849','2021-01-11 13:29:16','2021-06-22 10:44:16'
'13030563','B40IN8RQ','Invalid','8636','2021-01-11 13:31:06','2021-06-24 14:08:20'
'13030564','B40KR02N','Invalid','8636','2021-01-11 13:31:06','2021-06-24 14:08:17'
'12970335','B40M80FV','Invalid','8636','2021-01-11 13:30:58','2021-06-24 14:09:30'
'13163576','B41CS5M7','Invalid','8636','2021-01-11 13:32:12','2021-06-23 19:54:19'
'13319161','B42SBK6G','Invalid','8636','2021-01-11 13:32:41','2021-06-24 14:07:51'
'11462388','B4303UXR','Invalid','8636','2021-01-11 13:13:02','2021-06-23 19:50:04'
'11482394','B435PK58','Invalid','8636','2021-01-11 13:14:42','2021-06-23 19:50:16'
'11604675','B437KCCU','Invalid','7911','2021-01-11 13:15:19','2021-06-01 21:45:30'
'11804399','B43BZF1S','Invalid','8778','2021-01-11 13:17:00','2021-06-16 19:42:37'
'11618524','B43GDS3Q','Invalid','8166','2021-01-11 13:15:21','2021-06-23 17:30:07'
'11676111','B43LWEF1','Invalid','7935','2021-01-11 13:15:54','2021-06-02 08:27:56'
'11367879','B43M37QU','Invalid','8636','2021-01-11 13:12:01','2021-06-24 14:07:30'
'11360229','B43SAWI0','Invalid','8636','2021-01-11 13:12:00','2021-06-24 14:07:26'
'11793205','B43TCXKQ','Invalid','8636','2021-01-11 13:16:59','2021-06-23 19:53:50'
'11999669','B43X45P0','Invalid','8636','2021-01-11 13:22:26','2021-06-23 19:47:25'
'12253617','B440D22J','Invalid','8636','2021-01-11 13:23:48','2021-06-23 19:50:58'
'12257694','B446VIDW','Invalid','8636','2021-01-11 13:23:48','2021-06-24 14:08:55'
'12244760','B44IZDJ4','Invalid','2813','2021-01-11 13:23:46','2021-06-10 10:40:36'
'5850241','B4602X6Q','Invalid','7845','2021-01-11 11:01:10','2021-06-01 09:47:35'
'5736822','B4606CA1','Invalid','8636','2021-01-11 11:00:48','2021-06-23 19:51:34'
'5393958','B460QLAT','Invalid','7600','2021-01-11 10:58:48','2021-06-02 21:21:03'
'6212489','B461JYOO','Invalid','7226','2021-01-11 11:03:14','2021-06-03 08:28:44'
'5390061','B462GDW0','Invalid','8953','2021-01-11 10:58:47','2021-06-25 12:15:15'
